yahoo_ticker,set_symbols,membership_periods,requested_start,requested_end,requested_end_exclusive,actual_first_date,actual_last_date,rows,status,depth_status,request_mode,validation_status,coverage_issues,validation_issues,error,output_file
DELTA.BK,DELTA,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 2.25 (2.27%),,data\pilot\historical_depth_experiment\DELTA_BK.csv
EA.BK,EA,"2023_H1,2023_H2,2024_H1,2024_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.25 (0.43%),,data\pilot\historical_depth_experiment\EA_BK.csv
EGCO.BK,EGCO,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 2.50 (1.73%); Low above Open/Close by 0.50 (0.42%),,data\pilot\historical_depth_experiment\EGCO_BK.csv
GLOBAL.BK,GLOBAL,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\GLOBAL_BK.csv
GPSC.BK,GPSC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.38%); Low above Open/Close by 0.25 (0.54%),,data\pilot\historical_depth_experiment\GPSC_BK.csv
GULF.BK,GULF,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2025-04-03,2026-09-18,358,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2025-04-03 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\GULF_BK.csv
HMPRO.BK,HMPRO,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\HMPRO_BK.csv
ITC.BK,ITC,"2024_H2,2025_H1",2016-01-01,2026-09-19,2026-09-20,2022-12-09,2026-09-18,923,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2022-12-09 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.30 (1.36%); Low above Open/Close by 0.10 (0.54%),,data\pilot\historical_depth_experiment\ITC_BK.csv
IVL.BK,IVL,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\IVL_BK.csv
JMART.BK,JMART,2023_H1,2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.10 (0.52%),,data\pilot\historical_depth_experiment\JMART_BK.csv
JMT.BK,JMT,2023_H1,2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.25 (0.66%),,data\pilot\historical_depth_experiment\JMT_BK.csv
KBANK.BK,KBANK,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.50 (0.39%); Low above Open/Close by 0.50 (0.35%),,data\pilot\historical_depth_experiment\KBANK_BK.csv
KCE.BK,KCE,2024_H1,2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.54%); Low above Open/Close by 0.25 (0.60%),,data\pilot\historical_depth_experiment\KCE_BK.csv
KKP.BK,KKP,"2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\KKP_BK.csv
KTB.BK,KTB,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\KTB_BK.csv
KTC.BK,KTC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.75 (1.47%),,data\pilot\historical_depth_experiment\KTC_BK.csv
LH.BK,LH,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\LH_BK.csv
