design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2023,2023-10,BUY,NORMAL_STRATEGY,25-50,Q4,5,23614157.5,146433.0,29286.6,32022.75,39669.42318425,186102.42318425002,62.01068151595076
A,2023,2023-10,SELL,NORMAL_STRATEGY,10-25,Q1,1,39040.40155944824,204.4,204.4,204.4,65.5839705797171,269.9839705797171,52.356018851074744
A,2023,2023-10,SELL,NORMAL_STRATEGY,10-25,Q4,1,3318877.8,17560.2,17560.2,17560.2,5575.382816220001,23135.58281622,52.91005291005292
A,2023,2023-10,SELL,NORMAL_STRATEGY,25-50,Q4,4,18623093.0,113520.5,28380.125,33653.5,31284.9339307,144805.4339307,60.95684535323965
A,2023,2023-11,BUY,NORMAL_STRATEGY,5-10,Q4,1,753339.6,4829.1,4829.1,4829.1,1265.53519404,6094.63519404,64.1025641025641
A,2023,2023-11,BUY,NORMAL_STRATEGY,10-25,Q3,1,690292.9,5704.9,5704.9,5704.9,1159.62304271,6864.52304271,82.64462809917354
A,2023,2023-11,BUY,NORMAL_STRATEGY,10-25,Q4,1,1123140.3013412475,7618.2,7618.2,7618.2,1886.7633922231614,9504.96339222316,67.82945987159744
A,2023,2023-11,BUY,NORMAL_STRATEGY,25-50,Q1,1,19338.0,146.5,146.5,146.5,32.4859062,178.9859062,75.75757575757576
A,2023,2023-11,BUY,NORMAL_STRATEGY,25-50,Q2,3,396513.0,2971.0,990.3333333333334,805.75,666.1021887,3637.1021887,74.92818646551311
A,2023,2023-11,BUY,NORMAL_STRATEGY,25-50,Q3,4,2374466.0,18885.0,4721.25,4939.875,3988.8654334000003,22873.8654334,79.53367199193418
A,2023,2023-11,BUY,NORMAL_STRATEGY,25-50,Q4,4,4743367.75,33007.25,8251.8125,8016.0,7968.3834832249995,40975.633483225,69.58610788716518
A,2023,2023-11,BUY,NORMAL_STRATEGY,50-100,Q4,1,753324.0,3621.75,3621.75,3621.75,1265.5089876,4887.2589876,48.07692307692308
A,2023,2023-11,SELL,NORMAL_STRATEGY,10-25,Q2,1,70641.44756240844,447.3,447.3,447.3,118.67056776008994,565.9705677600899,63.31976699724778
A,2023,2023-11,SELL,NORMAL_STRATEGY,10-25,Q3,1,445725.3766654968,2854.6,2854.6,2854.6,748.7740602603681,3603.374060260368,64.04391918080736
A,2023,2023-11,SELL,NORMAL_STRATEGY,10-25,Q4,1,1079520.75,10904.25,10904.25,10904.25,1813.486907925,12717.736907925,101.01010101010102
A,2023,2023-11,SELL,NORMAL_STRATEGY,25-50,Q2,1,68977.5,676.25,676.25,676.25,115.87530225,792.12530225,98.0392156862745
A,2023,2023-11,SELL,NORMAL_STRATEGY,25-50,Q3,3,1256764.25,8591.5,2863.8333333333335,2619.5,2111.238263575,10702.738263575,68.36206551865237
