symbol,feature,horizon_days,sample_size,pearson,spearman,true_mean,false_mean
BGRIM,sma20_gt_sma50,20,585,0.039877573674223205,0.047421137344184475,-0.03536576876459306,-0.04423158869465853
BGRIM,volatility_20,1,565,0.06332043977680793,0.044327478235479334,,
BGRIM,volatility_20,3,565,0.08518293735275645,0.05560200852544693,,
BGRIM,volatility_20,5,565,0.07693169993580895,0.0691664103670211,,
BGRIM,volatility_20,10,565,0.07367667306013016,0.08385908967588149,,
BGRIM,volatility_20,20,565,0.12156904170293015,0.11898207438028842,,
BGRIM,volume_ratio_20,1,566,0.05579881741708264,0.0537730727321262,,
BGRIM,volume_ratio_20,3,566,0.0756724085109415,0.08102187641020502,,
BGRIM,volume_ratio_20,5,566,0.07264248651440287,0.08788401020658848,,
BGRIM,volume_ratio_20,10,566,0.08704648068050286,0.0930163934043191,,
BGRIM,volume_ratio_20,20,566,0.06046173417675298,0.05728753260474903,,
CENTEL,momentum_20,1,568,-0.09667872635917148,-0.06970032263696153,,
CENTEL,momentum_20,3,568,-0.17180790040095328,-0.14934652224090084,,
CENTEL,momentum_20,5,568,-0.22938843318281318,-0.19333049385321768,,
CENTEL,momentum_20,10,568,-0.3084292951860682,-0.26719195342711877,,
CENTEL,momentum_20,20,568,-0.4719170829807001,-0.4145577270142066,,
CENTEL,momentum_60,1,528,-0.10642312099884498,-0.11635998204488307,,
CENTEL,momentum_60,3,528,-0.16167644699710562,-0.16322199181732053,,
CENTEL,momentum_60,5,528,-0.19984707734973958,-0.20412177979388593,,
