symbol,side,status,reason,signal_date,execution_date,quantity,requested_price,executed_price,commission,vat,total_fees,slippage,cash_before,cash_after,position_before,position_after
KTB,SELL,FILLED,EXIT_CONFIRMED,2023-06-28 00:00:00,2023-06-29 00:00:00,57706,18.799999618530277,18.799999618530277,1703.25026143944581836234,119.2275183007612072853638,1822.4777797402070256477038,5770.600000000000000,6785381.989678790223161445060,7868432.289885958180697797356,57706,0
OSP,SELL,FILLED,EXIT_CONFIRMED,2023-06-28 00:00:00,2023-06-29 00:00:00,32731,29.75,29.75,1528.7831825,107.014822775,1635.798005275,8182.75,7868432.289885958180697797356,8840543.741880683180697797356,32731,0
IVL,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
HMPRO,BUY,FILLED,ENTRY_CONFIRMED,2023-07-03 00:00:00,2023-07-04 00:00:00,70803,14.10,14.10,1567.3660110,109.715620770,1677.081631770,7080.30,8840543.741880683180697797356,7840544.360248913180697797356,0,70803
IVL,BUY,FILLED,ENTRY_CONFIRMED,2023-07-03 00:00:00,2023-07-04 00:00:00,28936,34.50,34.50,1567.3184400,109.712290800,1677.030730800,7234.00,7840544.360248913180697797356,6840575.329518113180697797356,0,28936
PTTGC,BUY,FILLED,ENTRY_CONFIRMED,2023-07-04 00:00:00,2023-07-05 00:00:00,25763,38.75,38.75,1567.3565125,109.714955875,1677.071468375,6440.75,6840575.329518113180697797356,5840582.008049738180697797356,0,25763
KTB,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
TOP,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
HMPRO,SELL,FILLED,EXIT_CONFIRMED,2023-07-07 00:00:00,2023-07-10 00:00:00,70803,13.799999618530272,13.799999618530272,1534.01775559555419201312,107.3812428916887934409184,1641.3989984872429854540384,7080.300000000000000,5840582.008049738180697797356,6816021.982042049786128343318,70803,0
IVL,SELL,FILLED,EXIT_CONFIRMED,2023-07-07 00:00:00,2023-07-10 00:00:00,28936,33.00,33.00,1499.1741600,104.942191200,1604.116351200,7234.00,6816021.982042049786128343318,7769305.865690849786128343318,28936,0
KTB,BUY,FILLED,ENTRY_CONFIRMED,2023-07-14 00:00:00,2023-07-17 00:00:00,50676,19.700000381469727,19.700000381469727,1567.35803435023502015964,109.7150624045164514111748,1677.0730967547514715708148,5067.600000000000000,7769305.865690849786128343318,6769311.573262735149204772503,0,50676
TOP,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
SCGP,BUY,FILLED,ENTRY_CONFIRMED,2023-07-17 00:00:00,2023-07-18 00:00:00,25434,39.25,39.25,1567.3066650,109.711466550,1677.018131550,6358.50,6769311.573262735149204772503,5769350.055131185149204772503,0,25434
TOP,BUY,FILLED,ENTRY_CONFIRMED,2023-07-17 00:00:00,2023-07-18 00:00:00,21469,46.50,46.50,1567.3443450,109.714104150,1677.058449150,5367.25,5769350.055131185149204772503,4769364.496682035149204772503,0,21469
COM7,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
COM7,BUY,FILLED,ENTRY_CONFIRMED,2023-07-19 00:00:00,2023-07-20 00:00:00,35028,28.50,28.50,1567.3278600,109.712950200,1677.040810200,8757.00,4769364.496682035149204772503,3769389.455871835149204772503,0,35028
BGRIM,BUY,FILLED,ENTRY_CONFIRMED,2023-07-20 00:00:00,2023-07-21 00:00:00,27539,36.25,36.25,1567.3133375,109.711933625,1677.025271125,6884.75,3769389.455871835149204772503,2769423.680600710149204772503,0,27539
LH,BUY,FILLED,ENTRY_CONFIRMED,2023-07-20 00:00:00,2023-07-21 00:00:00,117449,8.499999809265137,8.499999809265137,1567.35686982945828855541,109.7149808880620801988787,1677.0718507175203687542887,5872.450000000000000,2769423.680600710149204772503,1769430.131151611553323018214,0,117449
HMPRO,BUY,FILLED,ENTRY_CONFIRMED,2023-07-21 00:00:00,2023-07-24 00:00:00,70803,14.10,14.10,1567.3660110,109.715620770,1677.081631770,7080.30,1769430.131151611553323018214,769430.749519841553323018214,0,70803
PTTGC,SELL,FILLED,EXIT_CONFIRMED,2023-07-21 00:00:00,2023-07-24 00:00:00,25763,36.75,36.75,1486.4606925,104.052248475,1590.512940975,6440.75,769430.749519841553323018214,1714630.486578866553323018214,25763,0
RATCH,BUY,FILLED,ENTRY_CONFIRMED,2023-07-21 00:00:00,2023-07-24 00:00:00,26621,37.50,37.50,1567.3113750,109.711796250,1677.023171250,6655.25,1714630.486578866553323018214,714665.963407616553323018214,0,26621
BDMS,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
BDMS,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
BDMS,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
PTTGC,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
RATCH,SELL,FILLED,EXIT_CONFIRMED,2023-07-26 00:00:00,2023-07-27 00:00:00,26621,34.50,34.50,1441.9264650,100.934852550,1542.861317550,6655.25,714665.963407616553323018214,1631547.602090066553323018214,26621,0
BDMS,BUY,FILLED,ENTRY_CONFIRMED,2023-07-27 00:00:00,2023-07-31 00:00:00,34724,28.75,28.75,1567.3545500,109.714818500,1677.069368500,8681.00,1631547.602090066553323018214,631555.532721566553323018214,0,34724
GLOBAL,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
IVL,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
GLOBAL,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
PTTGC,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
GLOBAL,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
PTTGC,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
