signal_date,execution_date,selected_symbols
2025-08-27 00:00:00,2025-08-28 00:00:00,COM7|PTTGC|KTB|TIDLOR|KKP|RATCH|MTC|GULF|HMPRO
2025-09-01 00:00:00,2025-09-02 00:00:00,COM7|KTB|PTTGC|KKP|TIDLOR|HMPRO|LH|RATCH
2025-09-04 00:00:00,2025-09-05 00:00:00,COM7|TIDLOR|KTB|PTTGC|HMPRO|KKP|LH|MTC
2025-09-09 00:00:00,2025-09-10 00:00:00,TIDLOR|MTC|PTTGC|HMPRO|LH|KTB|OSP|KKP|IVL|SCGP
2025-09-12 00:00:00,2025-09-15 00:00:00,PTTGC|MTC|SCGP|HMPRO|IVL|TOP|KTB|TIDLOR|OSP|LH|KKP|BDMS
2025-09-17 00:00:00,2025-09-18 00:00:00,TOP|MTC|PTTGC|LH|HMPRO|OSP|SCGP|IVL|TIDLOR|KTB|RATCH
2025-09-22 00:00:00,2025-09-23 00:00:00,LH|TOP|MTC|TIDLOR|OSP
2025-09-25 00:00:00,2025-09-26 00:00:00,TOP|MTC|SCGP|TIDLOR|LH|KKP
2025-09-30 00:00:00,2025-10-01 00:00:00,SCGP|LH|COM7
2025-10-03 00:00:00,2025-10-06 00:00:00,TOP|COM7
2025-10-08 00:00:00,2025-10-09 00:00:00,COM7|KKP|RATCH
2025-10-14 00:00:00,2025-10-15 00:00:00,COM7|RATCH|KKP|TIDLOR
2025-10-17 00:00:00,2025-10-20 00:00:00,RATCH|TIDLOR|KKP
2025-10-22 00:00:00,2025-10-24 00:00:00,KKP|RATCH|TIDLOR|KTB|TOP|GULF|MTC
2025-10-28 00:00:00,2025-10-29 00:00:00,KKP|RATCH|TIDLOR|KTB|GULF
2025-10-31 00:00:00,2025-11-03 00:00:00,KKP|KTB|RATCH|TOP|PTTGC
2025-11-05 00:00:00,2025-11-06 00:00:00,KKP|KTB|TOP
2025-11-10 00:00:00,2025-11-11 00:00:00,KTB|KKP|TOP|RATCH
2025-11-13 00:00:00,2025-11-14 00:00:00,KTB|TOP
2025-11-18 00:00:00,2025-11-19 00:00:00,KTB|TOP|RATCH
2025-11-21 00:00:00,2025-11-24 00:00:00,RATCH|KTB
2025-11-26 00:00:00,2025-11-27 00:00:00,RATCH|KTB|KKP|OSP
2025-12-01 00:00:00,2025-12-02 00:00:00,RATCH|OSP|TOP|KTB|BDMS
2025-12-04 00:00:00,2025-12-08 00:00:00,OSP|HMPRO|KTB|RATCH
2025-12-11 00:00:00,2025-12-12 00:00:00,BDMS|KTB|KKP|RATCH
2025-12-16 00:00:00,2025-12-17 00:00:00,HMPRO|LH|KTB|RATCH|KKP|OSP|BDMS
2025-12-19 00:00:00,2025-12-22 00:00:00,HMPRO|OSP|KTB|KKP|BDMS|LH|GULF
2025-12-24 00:00:00,2025-12-25 00:00:00,HMPRO|SCGP|PTTGC|LH|BDMS|GULF|OSP|IVL|RATCH
2025-12-29 00:00:00,2025-12-30 00:00:00,SCGP|LH|IVL|PTTGC|KKP|HMPRO|RATCH|GULF
2026-01-06 00:00:00,2026-01-07 00:00:00,LH|TOP|SCGP|GULF|HMPRO|KKP|IVL|PTTGC
2026-01-09 00:00:00,2026-01-12 00:00:00,SCGP|TOP|PTTGC|LH|IVL|OSP|GULF|HMPRO
2026-01-14 00:00:00,2026-01-15 00:00:00,SCGP|PTTGC|IVL|TOP|OSP|GULF|KTB
2026-01-19 00:00:00,2026-01-20 00:00:00,SCGP|IVL|PTTGC|TOP|OSP|GULF|HMPRO|KKP|KTB|RATCH|LH
2026-01-22 00:00:00,2026-01-23 00:00:00,IVL|SCGP|PTTGC|TOP|GULF|LH|HMPRO|CENTEL|RATCH|OSP|KKP|BDMS|KTB
2026-01-27 00:00:00,2026-01-28 00:00:00,IVL|SCGP|PTTGC|TOP|GULF|OSP|KKP|RATCH|LH|CENTEL|KTB|MTC|HMPRO|BDMS
2026-01-30 00:00:00,2026-02-02 00:00:00,IVL|TOP|PTTGC|SCGP|GULF|COM7|OSP|MTC|HMPRO|KKP|RATCH|BDMS|LH|CENTEL
2026-02-04 00:00:00,2026-02-05 00:00:00,IVL|TOP|COM7|GULF|PTTGC|CENTEL|KKP|OSP|MTC|RATCH|BDMS|KTB|LH|HMPRO|TIDLOR
2026-02-09 00:00:00,2026-02-10 00:00:00,COM7|IVL|MTC|GULF|TOP|TIDLOR|BDMS|PTTGC|CENTEL|OSP|SCGP|KKP|LH|RATCH|HMPRO|KTB
2026-02-12 00:00:00,2026-02-13 00:00:00,GULF|MTC|TOP|COM7|IVL|LH|CENTEL|TIDLOR|PTTGC|BDMS|KKP|KTB|HMPRO|OSP|RATCH|SCGP
2026-02-17 00:00:00,2026-02-18 00:00:00,GULF|TOP|MTC|COM7|IVL|PTTGC|CENTEL|KTB|LH|TIDLOR|BDMS|OSP|KKP|HMPRO|RATCH
2026-02-20 00:00:00,2026-02-23 00:00:00,GULF|TOP|COM7|TIDLOR|IVL|KTB|MTC|LH|PTTGC|OSP|BDMS|HMPRO|KKP|RATCH|SCGP
2026-02-25 00:00:00,2026-02-26 00:00:00,GULF|TOP|TIDLOR|COM7|KTB|MTC|LH|CENTEL|IVL|PTTGC|KKP|OSP|BDMS|SCGP|HMPRO|RATCH
2026-03-02 00:00:00,2026-03-04 00:00:00,TOP|GULF|KTB|KKP
2026-03-06 00:00:00,2026-03-09 00:00:00,KTB
2026-03-11 00:00:00,2026-03-12 00:00:00,KTB
2026-03-16 00:00:00,2026-03-17 00:00:00,KTB|PTTGC
2026-03-19 00:00:00,2026-03-20 00:00:00,PTTGC|KTB|IVL
2026-03-24 00:00:00,2026-03-25 00:00:00,PTTGC|KTB
2026-03-27 00:00:00,2026-03-30 00:00:00,PTTGC|IVL|KTB
2026-04-01 00:00:00,2026-04-02 00:00:00,PTTGC|IVL|SCGP|GULF|KTB|KKP|RATCH|COM7|CENTEL|LH|OSP
2026-04-07 00:00:00,2026-04-08 00:00:00,IVL|PTTGC|SCGP|KKP|GULF|RATCH|KTB|OSP|LH
2026-04-10 00:00:00,2026-04-16 00:00:00,PTTGC|IVL|SCGP|KKP|GULF|RATCH|OSP|CENTEL
2026-04-20 00:00:00,2026-04-21 00:00:00,SCGP|PTTGC|KKP|IVL|OSP|RATCH|GULF|MTC|LH|HMPRO
2026-04-23 00:00:00,2026-04-24 00:00:00,KKP|PTTGC|TIDLOR|OSP|MTC|LH
2026-04-28 00:00:00,2026-04-29 00:00:00,SCGP|PTTGC|IVL|KKP|TIDLOR|OSP
2026-05-01 00:00:00,2026-05-04 00:00:00,SCGP|TIDLOR|PTTGC|IVL|COM7
2026-05-06 00:00:00,2026-05-07 00:00:00,SCGP|PTTGC|COM7|TIDLOR|KKP|TOP|IVL|GULF
2026-05-11 00:00:00,2026-05-12 00:00:00,SCGP|TIDLOR|PTTGC|COM7|KKP
2026-05-14 00:00:00,2026-05-15 00:00:00,SCGP|TIDLOR|COM7|PTTGC|KTB|IVL|GULF|KKP|RATCH|TOP
2026-05-19 00:00:00,2026-05-20 00:00:00,COM7|KTB|TOP|GULF
2026-05-22 00:00:00,2026-05-25 00:00:00,COM7|GULF|KTB|CENTEL|TOP|RATCH|TIDLOR
2026-05-27 00:00:00,2026-05-28 00:00:00,COM7|GULF|KKP|KTB|CENTEL|TIDLOR|RATCH|OSP
2026-06-01 00:00:00,2026-06-02 00:00:00,COM7|KKP|CENTEL|GULF|TIDLOR|RATCH|KTB|OSP
