symbol,feature,observations,mean,return_correlation,forward_5d_mean,positive_forward_5d_rate,classification
KKP,volume_ratio_20,274,1.0511446866571799,0.37896019434720907,0.014553247657218618,0.6131386861313869,DIAGNOSTIC_ONLY
KTB,momentum_20,878,0.022635674030254686,0.22639657914414577,0.005668635337122696,0.5261958997722096,DIAGNOSTIC_ONLY
KTB,momentum_60,838,0.06992255799481326,0.1254387055019954,0.006243837700294565,0.5369928400954654,DIAGNOSTIC_ONLY
KTB,momentum_120,778,0.13382200099723213,0.11579333468653795,0.005732059772713228,0.5282776349614395,DIAGNOSTIC_ONLY
KTB,close_gt_sma20,897,0.6053511705685619,0.27091182258041663,0.005390407349187438,0.5217391304347826,DIAGNOSTIC_ONLY
KTB,close_gt_sma50,897,0.6309921962095875,0.18367344957786708,0.005390407349187438,0.5217391304347826,DIAGNOSTIC_ONLY
KTB,sma20_gt_sma50,897,0.6421404682274248,0.04176957137907384,0.005390407349187438,0.5217391304347826,DIAGNOSTIC_ONLY
KTB,volatility_20,878,0.013900311307495758,0.01004598358653625,0.005668635337122696,0.5261958997722096,DIAGNOSTIC_ONLY
KTB,volume_sma_20,879,49691278.69510808,0.028683155097512025,0.005636437940118366,0.5255972696245734,DIAGNOSTIC_ONLY
KTB,volume_ratio_20,879,1.0123543032439313,0.09660146088615672,0.005636437940118366,0.5255972696245734,DIAGNOSTIC_ONLY
LH,momentum_20,878,-0.019647766344530082,0.22204950759009273,-0.005128801969904476,0.38496583143507973,DIAGNOSTIC_ONLY
LH,momentum_60,838,-0.0610893773053703,0.07638531146378234,-0.005307935753887156,0.3854415274463007,DIAGNOSTIC_ONLY
LH,momentum_120,778,-0.12736362971682122,0.11713678221447846,-0.004778261738051215,0.39331619537275064,DIAGNOSTIC_ONLY
LH,close_gt_sma20,897,0.37681159420289856,0.2413940790709375,-0.0049601472091804445,0.38684503901895206,DIAGNOSTIC_ONLY
LH,close_gt_sma50,897,0.2887402452619844,0.16789935634066028,-0.0049601472091804445,0.38684503901895206,DIAGNOSTIC_ONLY
LH,sma20_gt_sma50,897,0.2831661092530658,0.011582049203025016,-0.0049601472091804445,0.38684503901895206,DIAGNOSTIC_ONLY
LH,volatility_20,878,0.01416782618349938,0.02223240855942368,-0.005128801969904476,0.38496583143507973,DIAGNOSTIC_ONLY
LH,volume_sma_20,879,33409290.870307166,0.0011429093879311407,-0.005134432853166527,0.3845278725824801,DIAGNOSTIC_ONLY
LH,volume_ratio_20,879,1.005926152611965,-0.1809456896452852,-0.005134432853166527,0.3845278725824801,DIAGNOSTIC_ONLY
MTC,momentum_20,878,0.00030375949001774406,0.20761075052460673,-0.00021844341084092264,0.44646924829157175,DIAGNOSTIC_ONLY
MTC,momentum_60,838,0.00042498115140865726,0.08848066848322678,0.0004116520634296358,0.4522673031026253,DIAGNOSTIC_ONLY
MTC,momentum_120,778,-0.017380312312910474,0.10658041648302582,-0.0005037881007334146,0.44473007712082263,DIAGNOSTIC_ONLY
MTC,close_gt_sma20,897,0.4659977703455964,0.27627232329710866,-0.00015558254583355886,0.4459308807134894,DIAGNOSTIC_ONLY
MTC,close_gt_sma50,897,0.43255295429208473,0.16385013894915543,-0.00015558254583355886,0.4459308807134894,DIAGNOSTIC_ONLY
MTC,sma20_gt_sma50,897,0.4414715719063545,-0.04541762956542646,-0.00015558254583355886,0.4459308807134894,DIAGNOSTIC_ONLY
MTC,volatility_20,878,0.021916903013276992,0.07858194636293418,-0.00021844341084092264,0.44646924829157175,DIAGNOSTIC_ONLY
MTC,volume_sma_20,879,8963423.725824801,0.04826437624065572,-0.00020323707350033106,0.447098976109215,DIAGNOSTIC_ONLY
MTC,volume_ratio_20,879,1.0107398741237164,0.037837205684793235,-0.00020323707350033106,0.447098976109215,DIAGNOSTIC_ONLY
OSP,momentum_20,878,-0.008166338650809577,0.19979388445763646,-0.0021488059426767445,0.4498861047835991,DIAGNOSTIC_ONLY
OSP,momentum_60,838,-0.029631211254457824,0.11671544251804397,-0.002800397615714935,0.4498806682577566,DIAGNOSTIC_ONLY
OSP,momentum_120,778,-0.07787654246087145,0.06761263049406253,-0.0027096438214842164,0.455012853470437,DIAGNOSTIC_ONLY
OSP,close_gt_sma20,897,0.4916387959866221,0.2728905172921994,-0.0022471936812972935,0.44481605351170567,DIAGNOSTIC_ONLY
OSP,close_gt_sma50,897,0.4136008918617614,0.16597511964296757,-0.0022471936812972935,0.44481605351170567,DIAGNOSTIC_ONLY
OSP,sma20_gt_sma50,897,0.43032329988851725,-0.004192120585488147,-0.0022471936812972935,0.44481605351170567,DIAGNOSTIC_ONLY
OSP,volatility_20,878,0.018202198957805428,0.016865507551210055,-0.0021488059426767445,0.4498861047835991,DIAGNOSTIC_ONLY
OSP,volume_sma_20,879,10364363.98748578,-0.007580461443378274,-0.002175937822565578,0.44937428896473264,DIAGNOSTIC_ONLY
OSP,volume_ratio_20,879,1.024442648792557,0.02425222220813451,-0.002175937822565578,0.44937428896473264,DIAGNOSTIC_ONLY
PTTGC,momentum_20,878,0.0024142147770704826,0.23592934259196974,0.001008215617484959,0.46697038724373574,DIAGNOSTIC_ONLY
