date,equity,positions,cash
2025-03-24,5902461.802739402290508592451,3,3061163.895125647784786592451
2025-03-25,5742842.412810604066242668331,3,2992440.707828800247905668331
2025-03-26,5716434.215173129298732209044,4,1936630.717011813398963209044
2025-03-27,5727988.679592512916044209044,3,2781343.995329283398963209044
2025-03-28,5691561.115694426244585209044,3,2781343.995329283398963209044
2025-03-31,5634507.051796339684752209044,3,2781343.995329283398963209044
2025-04-01,5680816.388125673211416569442,2,3703370.256652131956807569442
2025-04-02,5664130.547171090702198569442,1,4661682.678644631956807569442
2025-04-03,5629451.129195533360925815153,2,3661689.129195533360925815153
2025-04-04,5584703.815865836649111815153,2,3661689.129195533360925815153
2025-04-08,5491992.823579986541847432812,1,4534783.518383224508270432812
2025-04-09,5544844.963186462474693432812,1,4534783.518383224508270432812
2025-04-10,5556589.795981605583783432812,1,4534783.518383224508270432812
2025-04-11,5580079.573579986541847432812,1,4534783.518383224508270432812
2025-04-16,5597696.990784843432757432812,1,4534783.518383224508270432812
2025-04-17,5591824.518383224508270432812,1,4534783.518383224508270432812
2025-04-18,5615314.295981605583783432812,1,4534783.518383224508270432812
2025-04-21,5580079.573579986541847432812,1,4534783.518383224508270432812
2025-04-22,5537295.477692993432757432812,2,3534825.005291374508270432812
2025-04-23,5554236.782889755583783432812,2,3534825.005291374508270432812
2025-04-24,5532291.582387722774350802481,4,1534841.816126621978609802481
2025-04-25,5593132.432800435851006048192,3,2519756.052131795533754048192
2025-04-28,5546970.089870342177024048192,4,1519765.234863170533754048192
2025-04-29,5623018.072632842412874408526,5,519767.0721264412230714085259
2025-04-30,5621336.558308654049984408526,5,519767.0721264412230714085259
2025-05-02,5581217.950314574444304408526,5,519767.0721264412230714085259
2025-05-06,5533830.711249404198600408526,5,519767.0721264412230714085259
2025-05-07,5736553.068633132402100408526,5,519767.0721264412230714085259
2025-05-08,5730829.316152625306081408526,5,519767.0721264412230714085259
2025-05-09,5739036.657848410971377408526,5,519767.0721264412230714085259
2025-05-13,5771603.310282759924880408526,5,519767.0721264412230714085259
2025-05-14,5676347.433003478247542408526,5,519767.0721264412230714085259
2025-05-15,5544604.688470893146113408526,5,519767.0721264412230714085259
2025-05-16,5536643.123872174304945737675,5,453373.8949102297378047376747
2025-05-19,5484527.486036864939878410135,5,423407.7205568233526254101350
2025-05-20,5363616.459219543072853410135,5,423407.7205568233526254101350
2025-05-21,5471242.629988280794626410135,5,423407.7205568233526254101350
2025-05-22,5446942.698707201099510706644,5,323042.8090377825533947066444
2025-05-23,5420517.494855221743128706644,5,289016.001523312553394706644
2025-05-26,5460581.665543850897572706644,5,289016.001523312553394706644
2025-05-27,5358986.255569174116374239254,5,310965.1419198052896782392543
2025-05-28,5491859.515855504928962239254,5,310965.1419198052896782392543
2025-05-29,5434350.629504873190554239254,5,310965.1419198052896782392543
2025-05-30,5368599.474998189610388239254,5,310965.1419198052896782392543
2025-06-04,5278150.266520215749428239254,5,310965.1419198052896782392543
2025-06-05,5316355.434208585783930239254,5,310965.1419198052896782392543
2025-06-06,5238009.362590530400986173437,5,289971.770002105687265173437
2025-06-09,5178799.723734596404325173437,5,289971.770002105687265173437
2025-06-10,5251946.471396797567454173437,4,1235927.984116905687265173437
2025-06-11,5287521.877216189708666947243,3,2245028.895353167817014947243
2025-06-12,5290716.545664637876564947243,3,2245028.895353167817014947243
2025-06-13,5257333.575328677374181947243,3,2245028.895353167817014947243
2025-06-16,5170444.705798352682949947243,4,1245041.834384167817014947243
2025-06-17,5136443.558577741099299947243,4,1245041.834384167817014947243
2025-06-18,5081229.185285683297926046094,2,3117218.694986458451013046094
2025-06-19,5007223.099815133604100046094,1,4014188.340114358451013046094
2025-06-20,5023069.460263970900880046094,1,4014188.340114358451013046094
2025-06-23,5000281.674122102271920375243,0,5000281.674122102271920375243
2025-06-24,5000281.674122102271920375243,0,5000281.674122102271920375243
2025-06-25,5000281.674122102271920375243,0,5000281.674122102271920375243
2025-06-26,5016922.413625981287509836214,1,4000284.478687550369717836214
2025-06-27,4971127.913625981287509836214,1,4000284.478687550369717836214
2025-06-30,4952810.043749119451925836214,1,4000284.478687550369717836214
2025-07-01,,1,4000284.478687550369717836214
2025-07-02,,2,3000293.567234786708272549456
2025-07-03,,2,3000293.567234786708272549456
2025-07-04,,3,2000299.294170506708272549456
2025-07-07,,4,1000305.385098630073351952235
2025-07-08,,5,324.1149887641867113374817
2025-07-09,,5,324.1149887641867113374817
2025-07-11,,4,950873.6218597764596112239479
2025-07-14,,4,950873.6218597764596112239479
2025-07-15,,4,950873.6218597764596112239479
2025-07-16,,4,950873.6218597764596112239479
2025-07-17,,4,950873.6218597764596112239479
2025-07-18,,4,950873.6218597764596112239479
2025-07-21,,4,950873.6218597764596112239479
2025-07-22,,4,950873.6218597764596112239479
2025-07-23,,4,950873.6218597764596112239479
2025-07-24,,4,950873.6218597764596112239479
